ukbb_std_name	ukbb_raw_name	outcome	bbs_feature_id	bbs_chemical_name	bbs_pathway	bbs_sub_pathway	unsure	comment
phospholipids_in_large_vldl	Phospholipids in Large VLDL	Phospholipids in large VLDL	metab_lvldlpl	Phospholipids	Lipoprotein subclasses	Large VLDL		
phospholipids_in_ldl	Phospholipids in LDL		metab_ldlpl	Phospholipids in LDL	Phospholipids	Phospholipids		
phospholipids_in_medium_hdl	Phospholipids in Medium HDL	Phospholipids in medium HDL	metab_mhdlpl	Phospholipids	Lipoprotein subclasses	Medium HDL		
phospholipids_in_medium_ldl	Phospholipids in Medium LDL	Phospholipids in medium LDL	metab_mldlpl	Phospholipids	Lipoprotein subclasses	Medium LDL		
phospholipids_in_medium_vldl	Phospholipids in Medium VLDL	Phospholipids in medium VLDL	metab_mvldlpl	Phospholipids	Lipoprotein subclasses	Medium VLDL		
phospholipids_in_small_hdl	Phospholipids in Small HDL	Phospholipids in small HDL	metab_shdlpl	Phospholipids	Lipoprotein subclasses	Small HDL		
phospholipids_in_small_ldl	Phospholipids in Small LDL	Phospholipids in small LDL	metab_sldlpl	Phospholipids	Lipoprotein subclasses	Small LDL		
phospholipids_in_small_vldl	Phospholipids in Small VLDL	Phospholipids in small VLDL	metab_svldlpl	Phospholipids	Lipoprotein subclasses	Small VLDL		
phospholipids_in_very_large_hdl	Phospholipids in Very Large HDL	Phospholipids in very large HDL	metab_xlhdlpl	Phospholipids	Lipoprotein subclasses	Very large HDL		
phospholipids_in_very_large_vldl	Phospholipids in Very Large VLDL	Phospholipids in very large VLDL	metab_xlvldlpl	Phospholipids	Lipoprotein subclasses	Very large VLDL		
phospholipids_in_very_small_vldl	Phospholipids in Very Small VLDL	Phospholipids in very small VLDL	metab_xsvldlpl	Phospholipids	Lipoprotein subclasses	Very Small VLDL		
phospholipids_in_vldl	Phospholipids in VLDL		metab_vldlpl	Phospholipids in VLDL	Phospholipids	Phospholipids		
phospholipids_to_total_lipids_in_chylomicrons_and_extremely_large_vldl_percentage	Phospholipids to Total Lipids in Chylomicrons and Extremely Large VLDL percentage	Phospholipids to total lipids ratio in chylomicrons and extremely large VLDL	metab_xxlvldlplpct	Ratio	Lipoprotein subclasses ratios	Extremely large VLDL ratios		
phospholipids_to_total_lipids_in_idl_percentage	Phospholipids to Total Lipids in IDL percentage	Phospholipids to total lipids ratio in IDL	metab_idlplpct	Ratio	Lipoprotein subclasses ratios	IDL ratios		
phospholipids_to_total_lipids_in_large_hdl_percentage	Phospholipids to Total Lipids in Large HDL percentage	Phospholipids to total lipids ratio in large HDL	metab_lhdlplpct	Ratio	Lipoprotein subclasses ratios	Large HDL ratios		
phospholipids_to_total_lipids_in_large_ldl_percentage	Phospholipids to Total Lipids in Large LDL percentage	Phospholipids to total lipids ratio in large LDL	metab_lldlplpct	Ratio	Lipoprotein subclasses ratios	Large LDL ratios		
phospholipids_to_total_lipids_in_large_vldl_percentage	Phospholipids to Total Lipids in Large VLDL percentage	Phospholipids to total lipids ratio in large VLDL	metab_lvldlplpct	Ratio	Lipoprotein subclasses ratios	Large VLDL ratios		
phospholipids_to_total_lipids_in_medium_hdl_percentage	Phospholipids to Total Lipids in Medium HDL percentage	Phospholipids to total lipids ratio in medium HDL	metab_mhdlplpct	Ratio	Lipoprotein subclasses ratios	Medium HDL ratios		
phospholipids_to_total_lipids_in_medium_ldl_percentage	Phospholipids to Total Lipids in Medium LDL percentage	Phospholipids to total lipids ratio in medium LDL	metab_mldlplpct	Ratio	Lipoprotein subclasses ratios	Medium LDL ratios		
phospholipids_to_total_lipids_in_medium_vldl_percentage	Phospholipids to Total Lipids in Medium VLDL percentage	Phospholipids to total lipids ratio in medium VLDL	metab_mvldlplpct	Ratio	Lipoprotein subclasses ratios	Medium VLDL ratios		
phospholipids_to_total_lipids_in_small_hdl_percentage	Phospholipids to Total Lipids in Small HDL percentage	Phospholipids to total lipids ratio in small HDL	metab_shdlplpct	Ratio	Lipoprotein subclasses ratios	Small HDL ratios		
phospholipids_to_total_lipids_in_small_ldl_percentage	Phospholipids to Total Lipids in Small LDL percentage	Phospholipids to total lipids ratio in small LDL	metab_sldlplpct	Ratio	Lipoprotein subclasses ratios	Small LDL ratios		
phospholipids_to_total_lipids_in_small_vldl_percentage	Phospholipids to Total Lipids in Small VLDL percentage	Phospholipids to total lipids ratio in small VLDL	metab_svldlplpct	Ratio	Lipoprotein subclasses ratios	Small VLDL ratios		
phospholipids_to_total_lipids_in_very_large_hdl_percentage	Phospholipids to Total Lipids in Very Large HDL percentage	Phospholipids to total lipids ratio in very large HDL	metab_xlhdlplpct	Ratio	Lipoprotein subclasses ratios	Very large HDL ratios		
phospholipids_to_total_lipids_in_very_large_vldl_percentage	Phospholipids to Total Lipids in Very Large VLDL percentage	Phospholipids to total lipids ratio in very large VLDL	metab_xlvldlplpct	Ratio	Lipoprotein subclasses ratios	Very large VLDL ratios		
phospholipids_to_total_lipids_in_very_small_vldl_percentage	Phospholipids to Total Lipids in Very Small VLDL percentage	Phospholipids to total lipids ratio in very small VLDL	metab_xsvldlplpct	Ratio	Lipoprotein subclasses ratios	Very Small VLDL ratios		
polyunsaturated_fatty_acids	Polyunsaturated Fatty Acids	Polyunsaturated fatty acids	metab_pufa	PUFA	Fatty acids	Fatty acids		
polyunsaturated_fatty_acids_to_monounsaturated_fatty_acids_ratio	Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio		metab_pufamufa	Ratio of polyunsaturated fatty acids to monounsaturated fatty acids	Fatty acids	Fatty acid ratios		
polyunsaturated_fatty_acids_to_total_fatty_acids_percentage	Polyunsaturated Fatty Acids to Total Fatty Acids percentage	Ratio of polyunsaturated fatty acids to total fatty acids	metab_pufapct	Ratio of polyunsaturated fatty acids to total fatty acids	Fatty acids	Fatty acid ratios		
pyruvate	Pyruvate	Pyruvate levels	metab_pyruvate	Pyruvate	Glycolysis related metabolites	Glycolysis related metabolites		
remnant_cholesterol_non_hdl_non_ldl_cholesterol	"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"	"Remnant cholesterol (non-HDL, non-LDL -cholesterol)"	metab_remnantc	Remnant C	Cholesterol	Cholesterol		
saturated_fatty_acids	Saturated Fatty Acids	Saturated fatty acids	metab_sfa	Saturated fatty acids	Fatty acids	Fatty acids		
saturated_fatty_acids_to_total_fatty_acids_percentage	Saturated Fatty Acids to Total Fatty Acids percentage	Ratio of saturated fatty acids to total fatty acids	metab_sfapct	Ratio of saturated fatty acids to total fatty acids	Fatty acids	Fatty acid ratios		
sphingomyelins	Sphingomyelins	Sphingomyelins levels	metab_sphingomyelins	Sphingomyelins	Other lipids	Other lipids		
total_cholesterol	Total Cholesterol	Serum total cholesterol levels	metab_totalc	Total cholesterol	Cholesterol	Cholesterol	TRUE	also could be total free cholesterol?
total_cholesterol_minus_hdl_c	Total Cholesterol Minus HDL-C		metab_nonhdlc	Total cholesterol minus HDL-C	Cholesterol	Cholesterol		
total_cholines	Total Cholines	Total cholines levels	metab_cholines	Total cholines	Other lipids	Other lipids		
total_concentration_of_branched_chain_amino_acids_leucine_isoleucine_valine	Total Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)		metab_totalbcaa	Total concentration of branched-chain amino acids (leucine + isoleucine + valine)	Amino acids	Branched-chain amino acids		
total_concentration_of_lipoprotein_particles	Total Concentration of Lipoprotein Particles		metab_totalp	Total concentration of lipoprotein particles	Lipoprotein particle concentrations	Lipoprotein particle concentrations		
total_esterified_cholesterol	Total Esterified Cholesterol	Esterified cholesterol levels	metab_totalce	Total esterified cholesterol	Cholesteryl esters	Cholesteryl esters		
total_fatty_acids	Total Fatty Acids	Total fatty acids	metab_totalfa	Total fatty acids	Fatty acids	Fatty acids		
total_free_cholesterol	Total Free Cholesterol	Free cholesterol levels	metab_totalfc	Total free cholesterol	Free cholesterol	Free cholesterol		
total_lipids_in_chylomicrons_and_extremely_large_vldl	Total Lipids in Chylomicrons and Extremely Large VLDL	Total lipid levels in chylomicrons and extremely large VLDL	metab_xxlvldll	Total lipids	Lipoprotein subclasses	Extremely large VLDL		
total_lipids_in_hdl	Total Lipids in HDL		metab_hdll	Total lipids in HDL	Total lipids	Total lipids		
total_lipids_in_idl	Total Lipids in IDL	Total lipids in IDL	metab_idll	Total lipids	Lipoprotein subclasses	IDL		
total_lipids_in_large_hdl	Total Lipids in Large HDL	Total lipids in large HDL	metab_lhdll	Total lipids	Lipoprotein subclasses	Large HDL		
total_lipids_in_large_ldl	Total Lipids in Large LDL	Total lipids in large LDL	metab_lldll	Total lipids	Lipoprotein subclasses	Large LDL		
total_lipids_in_large_vldl	Total Lipids in Large VLDL	Total lipids in large VLDL	metab_lvldll	Total lipids	Lipoprotein subclasses	Large VLDL		
total_lipids_in_ldl	Total Lipids in LDL		metab_ldll	Total lipids in LDL	Total lipids	Total lipids		
total_lipids_in_lipoprotein_particles	Total Lipids in Lipoprotein Particles		metab_totall	Total lipids in lipoprotein particles	Total lipids	Total lipids		
total_lipids_in_medium_hdl	Total Lipids in Medium HDL	Total lipids in medium HDL	metab_mhdll	Total lipids	Lipoprotein subclasses	Medium HDL		
total_lipids_in_medium_ldl	Total Lipids in Medium LDL	Total lipid levels in medium LDL	metab_mldll	Total lipids	Lipoprotein subclasses	Medium LDL		
total_lipids_in_medium_vldl	Total Lipids in Medium VLDL	Total lipids in medium VLDL	metab_mvldll	Total lipids	Lipoprotein subclasses	Medium VLDL		
total_lipids_in_small_hdl	Total Lipids in Small HDL	Total lipids in small HDL	metab_shdll	Total lipids	Lipoprotein subclasses	Small HDL		
total_lipids_in_small_ldl	Total Lipids in Small LDL	Total lipids in small LDL	metab_sldll	Total lipids	Lipoprotein subclasses	Small LDL		
total_lipids_in_small_vldl	Total Lipids in Small VLDL	Total lipids in small VLDL	metab_svldll	Total lipids	Lipoprotein subclasses	Small VLDL		
total_lipids_in_very_large_hdl	Total Lipids in Very Large HDL	Total lipids in very large HDL	metab_xlhdll	Total lipids	Lipoprotein subclasses	Very large HDL		
total_lipids_in_very_large_vldl	Total Lipids in Very Large VLDL	Total lipids in very large VLDL	metab_xlvldll	Total lipids	Lipoprotein subclasses	Very large VLDL		
total_lipids_in_very_small_vldl	Total Lipids in Very Small VLDL	Total lipids in very small VLDL	metab_xsvldll	Total lipids	Lipoprotein subclasses	Very Small VLDL		
total_lipids_in_vldl	Total Lipids in VLDL		metab_vldll	Total lipids in VLDL	Total lipids	Total lipids		
total_phospholipids_in_lipoprotein_particles	Total Phospholipids in Lipoprotein Particles		metab_totalpl	Total phospholipids in lipoprotein particles	Phospholipids	Phospholipids		
total_triglycerides	Total Triglycerides	Serum total triglyceride levels	metab_totaltg	Total triglycerides	Triglycerides	Triglycerides		
triglycerides_in_chylomicrons_and_extremely_large_vldl	Triglycerides in Chylomicrons and Extremely Large VLDL	Triglyceride levels in chylomicrons and extremely large VLDL	metab_xxlvldltg	Triglycerides	Lipoprotein subclasses	Extremely large VLDL		
triglycerides_in_hdl	Triglycerides in HDL	Triglyceride levels in HDL	metab_hdltg	HDL triglycerides	Glycerides and phospholipids	Glycerides and phospholipids		
triglycerides_in_idl	Triglycerides in IDL	Triglycerides in IDL	metab_idltg	Triglycerides	Lipoprotein subclasses	IDL		
triglycerides_in_large_hdl	Triglycerides in Large HDL	Triglycerides in large HDL	metab_lhdltg	Triglycerides	Lipoprotein subclasses	Large HDL		
triglycerides_in_large_ldl	Triglycerides in Large LDL	Triglycerides in large LDL	metab_lldltg	Triglycerides	Lipoprotein subclasses	Large LDL		
triglycerides_in_large_vldl	Triglycerides in Large VLDL	Triglycerides in large VLDL	metab_lvldltg	Triglycerides	Lipoprotein subclasses	Large VLDL		
triglycerides_in_ldl	Triglycerides in LDL	Triglyceride levels in LDL	metab_ldltg	LDL triglycerides	Glycerides and phospholipids	Glycerides and phospholipids		
triglycerides_in_medium_hdl	Triglycerides in Medium HDL	Triglycerides in medium HDL	metab_mhdltg	Triglycerides	Lipoprotein subclasses	Medium HDL		
triglycerides_in_medium_ldl	Triglycerides in Medium LDL	Triglycerides in medium LDL	metab_mldltg	Triglycerides	Lipoprotein subclasses	Medium LDL		
triglycerides_in_medium_vldl	Triglycerides in Medium VLDL	Triglycerides in medium VLDL	metab_mvldltg	Triglycerides	Lipoprotein subclasses	Medium VLDL		
triglycerides_in_small_hdl	Triglycerides in Small HDL	Triglycerides in small HDL	metab_shdltg	Triglycerides	Lipoprotein subclasses	Small HDL		
triglycerides_in_small_ldl	Triglycerides in Small LDL	Triglycerides in small LDL	metab_sldltg	Triglycerides	Lipoprotein subclasses	Small LDL		
triglycerides_in_small_vldl	Triglycerides in Small VLDL	Triglycerides in small VLDL	metab_svldltg	Triglycerides	Lipoprotein subclasses	Small VLDL		
triglycerides_in_very_large_hdl	Triglycerides in Very Large HDL	Triglycerides in very large HDL	metab_xlhdltg	Triglycerides	Lipoprotein subclasses	Very large HDL		
triglycerides_in_very_large_vldl	Triglycerides in Very Large VLDL	Triglycerides in very large VLDL	metab_xlvldltg	Triglycerides	Lipoprotein subclasses	Very large VLDL		
triglycerides_in_very_small_vldl	Triglycerides in Very Small VLDL	Triglycerides in very small VLDL	metab_xsvldltg	Triglycerides	Lipoprotein subclasses	Very Small VLDL		
triglycerides_in_vldl	Triglycerides in VLDL	Triglyceride levels in VLDL	metab_vldltg	VLDL triglycerides	Glycerides and phospholipids	Glycerides and phospholipids		
triglycerides_to_phosphoglycerides_ratio	Triglycerides to Phosphoglycerides ratio	Ratio of triglycerides to phosphoglycerides	metab_tgpg	Ratio	Glycerides and phospholipids ratios	Glycerides and phospholipids ratios		
triglycerides_to_total_lipids_in_chylomicrons_and_extremely_large_vldl_percentage	Triglycerides to Total Lipids in Chylomicrons and Extremely Large VLDL percentage	Triglycerides to total lipids ratio in chylomicrons and extremely large VLDL	metab_xxlvldltgpct	Ratio	Lipoprotein subclasses ratios	Extremely large VLDL ratios		
triglycerides_to_total_lipids_in_idl_percentage	Triglycerides to Total Lipids in IDL percentage	Triglycerides to total lipids ratio in IDL	metab_idltgpct	Ratio	Lipoprotein subclasses ratios	IDL ratios		
triglycerides_to_total_lipids_in_large_hdl_percentage	Triglycerides to Total Lipids in Large HDL percentage	Triglycerides to total lipids ratio in large HDL	metab_lhdltgpct	Ratio	Lipoprotein subclasses ratios	Large HDL ratios		
triglycerides_to_total_lipids_in_large_ldl_percentage	Triglycerides to Total Lipids in Large LDL percentage	Triglycerides to total lipids ratio in large LDL	metab_lldltgpct	Ratio	Lipoprotein subclasses ratios	Large LDL ratios		
triglycerides_to_total_lipids_in_large_vldl_percentage	Triglycerides to Total Lipids in Large VLDL percentage	Triglycerides to total lipids ratio in large VLDL	metab_lvldltgpct	Ratio	Lipoprotein subclasses ratios	Large VLDL ratios		
triglycerides_to_total_lipids_in_medium_hdl_percentage	Triglycerides to Total Lipids in Medium HDL percentage	Triglycerides to total lipids ratio in medium HDL	metab_mhdltgpct	Ratio	Lipoprotein subclasses ratios	Medium HDL ratios		
triglycerides_to_total_lipids_in_medium_ldl_percentage	Triglycerides to Total Lipids in Medium LDL percentage	Triglycerides to total lipids ratio in medium LDL	metab_mldltgpct	Ratio	Lipoprotein subclasses ratios	Medium LDL ratios		
triglycerides_to_total_lipids_in_medium_vldl_percentage	Triglycerides to Total Lipids in Medium VLDL percentage	Triglycerides to total lipids ratio in medium VLDL	metab_mvldltgpct	Ratio	Lipoprotein subclasses ratios	Medium VLDL ratios		
triglycerides_to_total_lipids_in_small_hdl_percentage	Triglycerides to Total Lipids in Small HDL percentage	Triglycerides to total lipids ratio in small HDL	metab_shdltgpct	Ratio	Lipoprotein subclasses ratios	Small HDL ratios		
triglycerides_to_total_lipids_in_small_ldl_percentage	Triglycerides to Total Lipids in Small LDL percentage	Triglycerides to total lipids ratio in small LDL	metab_sldltgpct	Ratio	Lipoprotein subclasses ratios	Small LDL ratios		
triglycerides_to_total_lipids_in_small_vldl_percentage	Triglycerides to Total Lipids in Small VLDL percentage	Triglycerides to total lipids ratio in small VLDL	metab_svldltgpct	Ratio	Lipoprotein subclasses ratios	Small VLDL ratios		
triglycerides_to_total_lipids_in_very_large_hdl_percentage	Triglycerides to Total Lipids in Very Large HDL percentage	Triglycerides to total lipids ratio in very large HDL	metab_xlhdltgpct	Ratio	Lipoprotein subclasses ratios	Very large HDL ratios		
triglycerides_to_total_lipids_in_very_large_vldl_percentage	Triglycerides to Total Lipids in Very Large VLDL percentage	Triglycerides to total lipids ratio in very large VLDL	metab_xlvldltgpct	Ratio	Lipoprotein subclasses ratios	Very large VLDL ratios		
triglycerides_to_total_lipids_in_very_small_vldl_percentage	Triglycerides to Total Lipids in Very Small VLDL percentage	Triglycerides to total lipids ratio in very small VLDL	metab_xsvldltgpct	Ratio	Lipoprotein subclasses ratios	Very Small VLDL ratios		
tyrosine	Tyrosine	Tyrosine levels	metab_tyr	Tyrosine	Amino acids	Aromatic amino acids		
valine	Valine	Valine levels	metab_val	Valine	Amino acids	Branched-chain amino acids		
vldl_cholesterol	VLDL Cholesterol		metab_vldlc	VLDL C	Cholesterol	Cholesterol		
		Conjugated linoleic acid						
		Diacylglycerol levels						
		Estimated description of fatty acid chain length not actual carbon number						
		Glycerol levels	metab_glycerol	Glycerol	Glycolysis related metabolites	Glycolysis related metabolites		
		Ratio of conjugated linoleic acid to total fatty acids						
		Ratio of diacylglycerol to triglycerides						
		Total cholesterol in HDL2						
		Total cholesterol in HDL3						
		Total cholesterol levels in HDL						
		Total cholesterol levels in LDL						
		Total cholesterol levels in VLDL						
		Acetate levels	metab_acetate					
		Acetone levels	metab_acetone					
		Alanine levels	metab_ala					
		Albumin levels	metab_albumin					
		Apolipoprotein A-I levels						
		Apolipoprotein B levels	metab_apob					
		Ratio of apolipoprotein B to apolipoprotein A1 levels	metab_apobapoa1					
		3-Hydroxybutyrate levels	metab_bohbutyrate					
		Citrate levels	metab_citrate					
		Conjugated linoleic acid						
		Ratio of conjugated linoleic acid to total fatty acids						
		Creatinine levels	metab_creatinine					
		Diacylglycerol levels						
		Ratio of diacylglycerol to triglycerides						
		Docosahexaenoic acid (22:6) levels						
		Ratio of 22:6 docosahexaenoic acid to total fatty acids						
		Esterified cholesterol levels						
		Estimated description of fatty acid chain length not actual carbon number						
		Omega-3 fatty acids levels	metab_omega3					
		Ratio of omega-3 fatty acids to total fatty acids	metab_omega3pct					
		Omega-6 fatty acids levels	metab_omega6					
		Ratio of omega-6 fatty acids to total fatty acids	metab_omega6pct					
		Free cholesterol levels						
		Glucose levels	metab_glucose					
		Glutamine levels	metab_gln					
		Glycerol levels	metab_glycerol					
		Glycine levels	metab_gly					
		Glycoprotein acetylation						
		Total cholesterol in HDL2	metab_hdl2c					
		Total cholesterol in HDL3	metab_hdl3c					
		Total cholesterol levels in HDL						
		Mean diameter of HDL particles						
		Triglyceride levels in HDL						
		Histidine levels	metab_his					
		Total Cholesterol in IDL						
		Total cholesterol to total lipids ratio in IDL						
		Cholesterol esters in IDL						
		Cholesteryl esters to total lipids ratio in IDL	metab_idlcepct					
		Free cholesterol in IDL	metab_idlfc					
		Free cholesterol to total lipids ratio in IDL	metab_idlfcpct					
		Total lipids in IDL	metab_idll					
		Concentration of IDL particles	metab_idlp					
		Phospholipids in IDL	metab_idlpl					
		Phospholipids to total lipids ratio in IDL	metab_idlplpct					
		Triglycerides in IDL	metab_idltg					
		Triglycerides to total lipids ratio in IDL	metab_idltgpct					
		Isoleucine levels	metab_ile					
		Linoleic acid (18:2) levels						
		Ratio of 18:2 linoleic acid to total fatty acids						
		Lactate levels	metab_lactate					
		Total cholesterol levels in LDL						
		Mean diameter of LDL particles						
		Triglyceride levels in LDL						
		Leucine levels	metab_leu					
		Total cholesterol in large HDL						
		Total cholesterol to total lipids ratio in large HDL						
		Cholesterol esters in large HDL						
		Cholesteryl esters to total lipids ratio in large HDL	metab_lhdlcepct					
		Free cholesterol in large HDL	metab_lhdlfc					
		Free cholesterol to total lipids ratio in large HDL	metab_lhdlfcpct					
		Total lipids in large HDL	metab_lhdll					
		Concentration of large HDL particles	metab_lhdlp					
		Phospholipids in large HDL	metab_lhdlpl					
		Phospholipids to total lipids ratio in large HDL	metab_lhdlplpct					
		Triglycerides in large HDL	metab_lhdltg					
		Triglycerides to total lipids ratio in large HDL	metab_lhdltgpct					
		Total cholesterol in large LDL						
		Total cholesterol to total lipids ratio in large LDL						
		Cholesterol esters in large LDL						
		Cholesteryl esters to total lipids ratio in large LDL	metab_lldlcepct					
		Free cholesterol in large LDL	metab_lldlfc					
		Free cholesterol to total lipids ratio in large LDL	metab_lldlfcpct					
		Total lipids in large LDL	metab_lldll					
		Concentration of large LDL particles	metab_lldlp					
		Phospholipids in large LDL	metab_lldlpl					
		Phospholipids to total lipids ratio in large LDL	metab_lldlplpct					
		Triglycerides in large LDL	metab_lldltg					
		Triglycerides to total lipids ratio in large LDL	metab_lldltgpct					
		Total Cholesterol in large VLDL						
		Total cholesterol to total lipids ratio in large VLDL						
		Cholesterol esters in large VLDL						
		Cholesteryl esters to total lipids ratio in large VLDL	metab_lvldlcepct					
		Free cholesterol in large VLDL	metab_lvldlfc					
		Free cholesterol to total lipids ratio in large VLDL	metab_lvldlfcpct					
		Total lipids in large VLDL	metab_lvldll					
		Concentration of large VLDL particles	metab_lvldlp					
		Phospholipids in large VLDL	metab_lvldlpl					
		Phospholipids to total lipids ratio in large VLDL	metab_lvldlplpct					
		Triglycerides in large VLDL	metab_lvldltg					
		Triglycerides to total lipids ratio in large VLDL	metab_lvldltgpct					
		Total cholesterol levels in medium HDL						
		Total cholesterol to total lipids ratio in medium HDL						
		Cholesterol esters in medium HDL						
		Cholesteryl esters to total lipids ratio in medium HDL	metab_mhdlcepct					
		Free cholesterol in medium HDL	metab_mhdlfc					
		Free cholesterol to total lipids ratio in medium HDL	metab_mhdlfcpct					
		Total lipids in medium HDL	metab_mhdll					
		Concentration of medium HDL particles	metab_mhdlp					
		Phospholipids in medium HDL	metab_mhdlpl					
		Phospholipids to total lipids ratio in medium HDL	metab_mhdlplpct					
		Triglycerides in medium HDL	metab_mhdltg					
		Triglycerides to total lipids ratio in medium HDL	metab_mhdltgpct					
		Total cholesterol in medium LDL						
		Total cholesterol to total lipids ratio in medium LDL						
		Cholesterol esters in medium LDL						
		Cholesteryl esters to total lipids ratio in medium LDL	metab_mldlcepct					
		Free cholesterol in medium LDL	metab_mldlfc					
		Free cholesterol to total lipids ratio in medium LDL	metab_mldlfcpct					
		Total lipid levels in medium LDL						
		Concentration of medium LDL particles	metab_mldlp					
		Phospholipids in medium LDL	metab_mldlpl					
		Phospholipids to total lipids ratio in medium LDL	metab_mldlplpct					
		Triglycerides in medium LDL	metab_mldltg					
		Triglycerides to total lipids ratio in medium LDL	metab_mldltgpct					
		"Monounsaturated fatty acids (16:1, 18:1) levels"						
		Ratio of monounsaturated fatty acids to total fatty acids	metab_mufapct					
		Total cholesterol in medium VLDL						
		Total cholesterol to total lipids ratio in medium VLDL						
		Cholesterol esters in medium VLDL						
		Cholesteryl esters to total lipids ratio in medium VLDL	metab_mvldlcepct					
		Free cholesterol in medium VLDL	metab_mvldlfc					
		Free cholesterol to total lipids ratio in medium VLDL	metab_mvldlfcpct					
		Total lipids in medium VLDL	metab_mvldll					
		Concentration of medium VLDL particles	metab_mvldlp					
		Phospholipids in medium VLDL	metab_mvldlpl					
		Phospholipids to total lipids ratio in medium VLDL	metab_mvldlplpct					
		Triglycerides in medium VLDL	metab_mvldltg					
		Triglycerides to total lipids ratio in medium VLDL	metab_mvldltgpct					
		Phosphatidylcholine and other choline levels						
		Phenylalanine levels	metab_phe					
		Polyunsaturated fatty acids	metab_pufa					
		Ratio of polyunsaturated fatty acids to total fatty acids	metab_pufapct					
		Pyruvate levels	metab_pyruvate					
		"Remnant cholesterol (non-HDL, non-LDL -cholesterol)"	metab_remnantc					
		Serum total cholesterol levels						
		Serum total triglyceride levels						
		Saturated fatty acids	metab_sfa					
		Ratio of saturated fatty acids to total fatty acids	metab_sfapct					
		Total cholesterol levels in small HDL						
		Total cholesterol to total lipids ratio in small HDL						
		Cholesterol esters in small HDL						
		Cholesteryl esters to total lipids ratio in small HDL	metab_shdlcepct					
		Free cholesterol in small HDL	metab_shdlfc					
		Free cholesterol to total lipids ratio in small HDL	metab_shdlfcpct					
		Total lipids in small HDL	metab_shdll					
		Concentration of small HDL particles	metab_shdlp					
		Phospholipids in small HDL	metab_shdlpl					
		Phospholipids to total lipids ratio in small HDL	metab_shdlplpct					
		Triglycerides in small HDL	metab_shdltg					
		Triglycerides to total lipids ratio in small HDL	metab_shdltgpct					
		Total Cholesterol in small LDL						
		Total cholesterol to total lipids ratio in small LDL						
		Cholesterol esters in small LDL						
		Cholesteryl esters to total lipids ratio in small LDL	metab_sldlcepct					
		Free cholesterol in small LDL	metab_sldlfc					
		Free cholesterol to total lipids ratio in small LDL	metab_sldlfcpct					
		Total lipids in small LDL	metab_sldll					
		Concentration of small LDL particles	metab_sldlp					
		Phospholipids in small LDL	metab_sldlpl					
		Phospholipids to total lipids ratio in small LDL	metab_sldlplpct					
		Triglycerides in small LDL	metab_sldltg					
		Triglycerides to total lipids ratio in small LDL	metab_sldltgpct					
		Sphingomyelins levels	metab_sphingomyelins					
		Total cholesterol in small VLDL						
		Total cholesterol to total lipids ratio in small VLDL						
		Cholesterol esters in small VLDL						
		Cholesteryl esters to total lipids ratio in small VLDL	metab_svldlcepct					
		Free cholesterol in small VLDL	metab_svldlfc					
		Free cholesterol to total lipids ratio in small VLDL	metab_svldlfcpct					
		Total lipids in small VLDL	metab_svldll					
		Concentration of small VLDL particles	metab_svldlp					
		Phospholipids in small VLDL	metab_svldlpl					
		Phospholipids to total lipids ratio in small VLDL	metab_svldlplpct					
		Triglycerides in small VLDL	metab_svldltg					
		Triglycerides to total lipids ratio in small VLDL	metab_svldltgpct					
		Ratio of triglycerides to phosphoglycerides	metab_tgpg					
		Total cholines levels	metab_cholines					
		Total fatty acids	metab_totalfa					
		Total phosphoglycerides levels						
		Tyrosine levels	metab_tyr					
		Estimated degree of unsaturation						
		Valine levels	metab_val					
		Total cholesterol levels in VLDL						
		Mean diameter of VLDL particles						
		Triglyceride levels in VLDL						
		Total cholesterol levels in very large HDL						
		Total cholesterol to total lipids ratio in very large HDL						
		Cholesterol esters in very large HDL						
		Cholesteryl esters to total lipids ratio in very large HDL	metab_xlhdlcepct					
		Free cholesterol in very large HDL	metab_xlhdlfc					
		Free cholesterol to total lipids ratio in very large HDL	metab_xlhdlfcpct					
		Total lipids in very large HDL	metab_xlhdll					
		Concentration of very large HDL particles	metab_xlhdlp					
		Phospholipids in very large HDL	metab_xlhdlpl					
		Phospholipids to total lipids ratio in very large HDL	metab_xlhdlplpct					
		Triglycerides in very large HDL	metab_xlhdltg					
		Triglycerides to total lipids ratio in very large HDL	metab_xlhdltgpct					
		Total cholesterol in very large VLDL						
		Total cholesterol to total lipids ratio in very large VLDL						
		Cholesterol esters in very large VLDL						
		Cholesteryl esters to total lipids ratio in very large VLDL	metab_xlvldlcepct					
		Free cholesterol in very large VLDL	metab_xlvldlfc					
		Free cholesterol to total lipids ratio in very large VLDL	metab_xlvldlfcpct					
		Total lipids in very large VLDL	metab_xlvldll					
		Concentration of very large VLDL particles	metab_xlvldlp					
		Phospholipids in very large VLDL	metab_xlvldlpl					
		Phospholipids to total lipids ratio in very large VLDL	metab_xlvldlplpct					
		Triglycerides in very large VLDL	metab_xlvldltg					
		Triglycerides to total lipids ratio in very large VLDL	metab_xlvldltgpct					
		Total cholesterol in very small VLDL						
		Total cholesterol to total lipids ratio in very small VLDL						
		Cholesterol esters in very small VLDL						
